Profile_ID,Road_Name,N_Buildings,Total_Floors,Avg_Floors,Max_Floors,Min_Floors,Avg_Height_m,Max_Height_m,Dominant_Usage,SCR_Est,EWW_Est_m,Building_Density_per_100m,Center_Lat,Center_Lng
P0028,南海大道,20,127,6.4,15,2,19.0,45.0,Residential,0.65,3.5,40.0,113.931966,22.536628
P0029,南海大道,20,97,4.8,8,2,14.6,24.0,Residential,0.65,3.5,40.0,113.931164,22.536984
P0030,南海大道,20,108,5.4,15,1,16.2,45.0,Residential,0.65,3.5,40.0,113.931638,22.537462
P0031,南海大道,20,85,4.2,15,1,12.8,45.0,Residential,0.65,3.5,40.0,113.9321,22.538098
P0032,南海大道,20,75,3.8,15,1,11.2,45.0,Residential,0.65,3.5,40.0,113.931836,22.538817
P0033,南海大道,20,100,5.0,15,1,15.0,45.0,Residential,0.65,3.5,40.0,113.932087,22.540163
P0034,南海大道,20,102,5.1,15,1,15.3,45.0,Residential,0.65,3.5,40.0,113.931167,22.542162
P0035,南海大道,20,124,6.2,15,1,18.6,45.0,Residential,0.65,3.5,40.0,113.930189,22.54411
P0036,南海大道,20,141,7.0,15,1,21.2,45.0,Mixed Residential,0.65,3.5,40.0,113.929549,22.545976
P0037,南海大道,20,159,8.0,18,1,23.8,54.0,Mixed Residential,0.65,3.5,40.0,113.929264,22.54717
P0038,南海大道,20,225,11.2,32,2,33.8,96.0,Mixed Residential,0.5,2.5,40.0,91.075944,45.391169
P0039,南海大道,20,279,14.0,32,3,41.8,96.0,Mixed Residential,0.5,2.5,40.0,68.224212,68.235491
P0040,南海大道,20,268,13.4,32,4,40.2,96.0,Residential,0.5,2.5,40.0,45.374666,91.080139
P0041,南海大道,20,233,11.6,32,1,35.0,96.0,Residential,0.5,2.5,40.0,22.524978,113.924856
P0042,南海大道,20,153,7.6,27,1,23.0,81.0,Residential,0.65,3.5,40.0,22.528985,113.926127
P0043,南海大道,20,95,4.8,7,1,14.2,21.0,Residential,0.65,3.5,40.0,22.53214,113.927113
P0044,南海大道,20,120,6.0,21,1,18.0,63.0,Residential,0.65,3.5,40.0,22.533151,113.927806
P0045,南海大道,20,132,6.6,21,2,19.8,63.0,Residential,0.65,3.5,40.0,22.534408,113.928462
P0046,南海大道,20,146,7.3,21,2,21.9,63.0,Residential,0.65,3.5,40.0,22.535171,113.929023
P0047,南海大道,20,144,7.2,21,2,21.6,63.0,Residential,0.65,3.5,40.0,22.535948,113.929404
P0048,南海大道,20,125,6.2,21,2,18.8,63.0,Residential,0.65,3.5,40.0,22.536611,113.929742
