community_id,lng,lat,population,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
442,113.939617,22.532222,6975,0.012000171768589724,0.0006718608654028769,0.03571943679837589,0.0245400760182891,-31.297696106437773,0.011179360780086793,0.6870230389356222,0.011179360780086793,0-NightAdv
443,113.968104,22.537731,9025,0.05642331522612899,0.005892156477913078,0.16794834949361798,0.2152141541879161,28.14305995671259,-0.047265804694298114,1.281430599567126,0.047265804694298114,3-Moderate
444,113.962507,22.530537,9640,0.017094551036614752,0.001131955133573848,0.050883249600412274,0.04134526426172742,-18.744843172531137,0.009537985338684857,0.8125515682746887,0.009537985338684858,0-NightAdv
445,113.947226,22.516022,6701,0.008508040966456671,0.0006385851263419892,0.02532484013060565,0.023324661922650005,-7.898088191831794,0.002000178207955644,0.921019118081682,0.002000178207955644,0-NightAdv
446,113.963355,22.511592,12049,0.008773195742156912,0.00190999034576975,0.02611409377089128,0.0697634148571548,167.1485193750752,-0.04364932108626352,2.6714851937507524,0.04364932108626352,4-Severe
447,113.970102,22.527575,9091,0.008201410116967546,0.0005132893298536779,0.024412129757790186,0.01874816620913427,-23.201431439419913,0.005663963548655917,0.7679856856058008,0.005663963548655917,0-NightAdv
448,113.963793,22.525016,5300,0.007036698553021,0.0004865179345275541,0.02094527595777867,0.017770326733360074,-15.158306965344531,0.003174949224418598,0.8484169303465546,0.0031749492244185977,0-NightAdv
449,113.951574,22.525614,3866,0.010655902562910468,0.0004957437367323572,0.03171811582912563,0.018107304073601206,-42.91179157314916,0.013610811755524421,0.5708820842685084,0.013610811755524421,0-NightAdv
450,113.958211,22.527828,3048,0.0007259250111015509,4.243846660958587e-05,0.00216077178347335,0.0015500876004652638,-28.26231755148325,0.0006106841830080863,0.7173768244851675,0.0006106841830080862,0-NightAdv
451,113.9669,22.52143,9485,0.008773195742156912,0.00190999034576975,0.02611409377089128,0.0697634148571548,167.1485193750752,-0.04364932108626352,2.6714851937507524,0.04364932108626352,4-Severe
452,113.960905,22.530019,5313,0.01506415882565585,0.0009040218407310137,0.044839630587800064,0.033019879317468165,-26.36005496786543,0.011819751270331899,0.7363994503213457,0.011819751270331897,0-NightAdv
453,113.943896,22.51993,9213,0.019813202698743138,0.0012912116513042135,0.05897552595235376,0.04716219340994871,-20.030906637354995,0.011813332542405047,0.79969093362645,0.011813332542405046,0-NightAdv
454,113.956804,22.525929,11530,0.004849278702757776,0.0002106726936137097,0.01443425206581213,0.007694932362458787,-46.68977424410914,0.006739319703353343,0.5331022575589086,0.006739319703353342,0-NightAdv
455,113.960554,22.51477,8012,0.0007073766964343218,3.154948682217207e-05,0.002105561294302966,0.0011523618130218865,-45.270564379206576,0.0009531994812810793,0.5472943562079343,0.0009531994812810794,0-NightAdv
456,113.952417,22.527167,4041,0.010678048516031595,0.0004957437367323573,0.03178403496662668,0.01810730407360121,-43.03019080927287,0.013676730893025468,0.5696980919072713,0.013676730893025466,0-NightAdv
457,113.967371,22.526544,2231,0.0032822220543789332,0.0005272460965657624,0.009769787090589444,0.019257944548253192,97.11734114250073,-0.009488157457663748,1.9711734114250072,0.009488157457663748,4-Severe
458,113.953642,22.539473,8114,0.03492200595528654,0.002682153239640297,0.10394804413195159,0.0979670758974845,-5.753805455805257,0.005980968234467088,0.9424619454419474,0.005980968234467088,0-NightAdv
459,113.952101,22.52078,9122,0.005157129579184469,0.000290763391112164,0.01535059394290346,0.010620287753997044,-30.81513462280867,0.004730306188906415,0.6918486537719133,0.004730306188906415,0-NightAdv
460,113.974462,22.525412,10125,0.01026328700599996,0.001239712633548099,0.03054946534298578,0.04528116435217728,48.222444628065894,-0.0147316990091915,1.4822244462806589,0.0147316990091915,3-Moderate
461,113.942074,22.53779,8159,0.013811140843894891,0.0007512663157445913,0.041109925924414314,0.027440402392386924,-33.25115096816399,0.01366952353202739,0.6674884903183601,0.01366952353202739,0-NightAdv
462,113.967259,22.53174,2786,0.024660198432387245,0.0015572885513119574,0.07340298258452203,0.05688079392552621,-22.508879172547054,0.016522188658995823,0.7749112082745294,0.016522188658995823,0-NightAdv
463,113.97028,22.528014,5090,0.008201410116967546,0.0005132893298536779,0.024412129757790186,0.01874816620913427,-23.201431439419913,0.005663963548655917,0.7679856856058008,0.005663963548655917,0-NightAdv
464,113.96022,22.532757,3950,0.017150041359742532,0.0009830433595782182,0.0510484208269669,0.03590618238920347,-29.66250119487413,0.015142238437763432,0.7033749880512586,0.015142238437763434,0-NightAdv
465,113.957657,22.52732,3812,0.0005088959260913437,7.063194400299479e-06,0.0015147679732843491,0.0002579869381309568,-82.96855078262682,0.0012567810351533924,0.17031449217373176,0.0012567810351533924,0-NightAdv
466,113.944672,22.52546,4616,0.01633841889467208,0.0009819542141687968,0.04863256396222528,0.03586640077292173,-26.25023677390216,0.012766163189303549,0.7374976322609784,0.012766163189303549,0-NightAdv
467,113.949502,22.536875,4325,0.03791550280234248,0.002735967764323744,0.11285841837462947,0.09993268007927888,-11.453056388265214,0.012925738295350583,0.8854694361173479,0.012925738295350582,0-NightAdv
468,113.956632,22.531656,4386,0.010487302035175863,0.0004810775393840056,0.031216263354784182,0.01757161340256925,-43.71006804093919,0.013644649952214934,0.562899319590608,0.013644649952214934,0-NightAdv
469,113.945229,22.518306,1993,0.016943618739193703,0.0010634208458434292,0.05043398797628484,0.0388420128932238,-22.984450661549577,0.011591975083061035,0.7701554933845042,0.011591975083061035,0-NightAdv
470,113.952956,22.523385,2875,0.00525703903281334,0.00025778673544665125,0.015647982137278957,0.009415797838699827,-39.82739911066163,0.00623218429857913,0.6017260088933837,0.00623218429857913,0-NightAdv
471,113.957629,22.527692,6925,0.0005614872728562581,2.549677989525659e-05,0.0016713101731075106,0.0009312834681567431,-44.278238525576405,0.0007400267049507675,0.5572176147442359,0.0007400267049507675,0-NightAdv
472,113.965083,22.513068,3479,0.008773195742156912,0.00190999034576975,0.02611409377089128,0.0697634148571548,167.1485193750752,-0.04364932108626352,2.6714851937507524,0.04364932108626352,4-Severe
473,113.957726,22.528098,5092,0.0008151965566296561,4.243846660958587e-05,0.002426495423924143,0.0015500876004652638,-36.11825576994278,0.0008764078234588793,0.6388174423005722,0.0008764078234588793,0-NightAdv
474,113.964987,22.513056,5921,0.008773195742156912,0.00190999034576975,0.02611409377089128,0.0697634148571548,167.1485193750752,-0.04364932108626352,2.6714851937507524,0.04364932108626352,4-Severe
475,113.954948,22.529168,2305,0.010391090858596116,0.00043237773470464506,0.03092988336727993,0.015792827093605254,-48.93990738318738,0.015137056273674676,0.5106009261681262,0.015137056273674676,0-NightAdv
476,113.945567,22.539273,8265,0.03608798835731417,0.002346594324679387,0.10741868067952652,0.08571060777172534,-20.20884335059482,0.021708072907801176,0.7979115664940518,0.021708072907801176,0-NightAdv
477,113.941929,22.520923,3805,0.019108649795623316,0.0012471020181842876,0.05687836989664021,0.045551065562440075,-19.914959508832965,0.011327304334200136,0.8008504049116704,0.011327304334200136,0-NightAdv
