community_id,lng,lat,population,A_i_2sfca_day,A_i_2sfca_norm_day,A_i_2sfca_night,A_i_2sfca_norm_night,TPI,accessibility_gap,accessibility_ratio,TPI_level
60,113.934102,22.533732,4579,0.01863791507360456,0.04334789348707308,0.0014349568729343596,0.03635956714987121,-16.121490054149657,0.006988326337201874,0.8387850994585034,0-Night Advantage
61,113.911981,22.531467,1971,0.03968808667627294,0.09230619128559428,0.003377133998136004,0.08557130370632121,-7.296246855679925,0.006734887579273069,0.9270375314432008,0-Night Advantage
62,113.920562,22.510689,2634,0.12217237907357897,0.28414740888287515,0.010254824682400968,0.25984124936622455,-8.554066923295276,0.024306159516650605,0.9144593307670472,0-Night Advantage
63,113.943036,22.522476,5619,0.023427265549608944,0.054486921296042996,0.0015885755960565445,0.040252025790399326,-26.125343783513514,0.01423489550564367,0.7387465621648649,0-Night Advantage
64,113.947339,22.521867,4505,0.016759972872175517,0.03898019258270996,0.0011515136421902069,0.029177558146113582,-25.147732186793842,0.009802634436596378,0.7485226781320616,0-Night Advantage
65,113.930503,22.523001,2872,0.05042744554347103,0.1172836945340155,0.00405057145406628,0.10263515758372996,-12.489832460075743,0.014648536950285548,0.8751016753992426,0-Night Advantage
66,113.914194,22.540901,5612,0.04313479669205558,0.10032251811479893,0.002688228927906051,0.06811552462796384,-32.1034540321054,0.03220699348683509,0.678965459678946,0-Night Advantage
67,113.929525,22.536047,2247,0.02608217192858821,0.06066167842309577,0.0021773010102223494,0.055169408767508844,-9.053936188972724,0.005492269655586926,0.9094606381102728,0-Night Advantage
68,113.933411,22.526352,3946,0.034034311021585106,0.07915669125239036,0.0025245172671612133,0.06396732670345301,-19.18898365838234,0.01518936454893735,0.8081101634161766,0-Night Advantage
69,113.937344,22.533373,3498,0.016657590895513538,0.038742073511890456,0.0011681614948122504,0.029599388743763912,-23.598852460285926,0.009142684768126543,0.7640114753971408,0-Night Advantage
70,113.947894,22.542281,4543,0.037447443138809024,0.08709492291030062,0.0026438275884399106,0.06699046399770112,-23.08338791838091,0.0201044589125995,0.7691661208161908,0-Night Advantage
71,113.935357,22.53553,1968,0.016745164437132448,0.03894575125907359,0.001188540408454307,0.030115758603364337,-22.672544167836637,0.008829992655709253,0.7732745583216336,0-Night Advantage
72,113.919179,22.517452,3341,0.09071775162029895,0.2109905222281358,0.007730833156064928,0.19588724411458436,-7.158273250407361,0.015103278113551444,0.9284172674959263,0-Night Advantage
73,113.934654,22.515918,4046,0.06879187545654984,0.15999551872031392,0.00501436443460352,0.127056167201084,-20.587671318976604,0.032939351519229915,0.7941232868102339,0-Night Advantage
74,113.929771,22.523903,3864,0.049375538057988236,0.1148371776645648,0.0039477880692908515,0.10003078706143609,-12.893377305368512,0.014806390603128716,0.8710662269463149,0-Night Advantage
75,113.923645,22.526237,6952,0.05005007657541368,0.1164060132178342,0.004302944441164778,0.10902989511507957,-6.336543876776765,0.007376118102754625,0.9366345612322323,0-Night Advantage
76,113.94908,22.521307,6627,0.013537564965760508,0.031485545560897714,0.0008933798863855257,0.022636851728480293,-28.103987638717378,0.008848693832417421,0.7189601236128262,0-Night Advantage
77,113.935153,22.531212,2421,0.017313574367361872,0.040267753908794564,0.0012909912194591431,0.03271170222546894,-18.76452235314612,0.007556051683325626,0.8123547764685388,0-Night Advantage
78,113.933052,22.53122,1922,0.020081319434039138,0.04670495023015836,0.0014981122415740162,0.03795982560379445,-18.724192153655274,0.008745124626363912,0.8127580784634473,0-Night Advantage
79,113.936071,22.511357,7183,0.08967758213993529,0.20857130550431005,0.006395294495285397,0.16204677926593541,-22.306292865109974,0.046524526238374636,0.7769370713489002,0-Night Advantage
80,113.940731,22.527673,4502,0.01899499823994525,0.04417839426998975,0.001501101615662592,0.038035571676697244,-13.904585476220682,0.006142822593292505,0.8609541452377932,0-Night Advantage
81,113.935071,22.505613,3988,0.14690559568186695,0.34167169928202784,0.011059211077577326,0.2802231449489467,-17.984677824416288,0.06144855433308116,0.8201532217558372,0-Night Advantage
82,113.929827,22.516451,4530,0.08899140435494143,0.2069753994483138,0.006439405515086918,0.1631644836490943,-21.167209202637643,0.0438109157992195,0.7883279079736236,0-Night Advantage
83,113.928262,22.536646,5077,0.028710424069160433,0.0667744433647091,0.0022436618000654515,0.05685088759096972,-14.86130811984285,0.009923555773739379,0.8513869188015715,0-Night Advantage
84,113.94925,22.545066,3508,0.0497823952711861,0.11578344247328932,0.003410112038293414,0.08640691576421011,-25.371958271025008,0.029376526709079212,0.7462804172897499,0-Night Advantage
85,113.929179,22.506992,5151,0.12627401065424182,0.2936869463354086,0.009428766866576677,0.23891023381401483,-18.65139503300749,0.05477671252139377,0.8134860496699251,0-Night Advantage
86,113.942742,22.535988,1674,0.022594500299107097,0.05255008344503178,0.0016937810471563495,0.04291776769243545,-18.329782031025474,0.009632315752596328,0.8167021796897452,0-Night Advantage
87,113.922723,22.51294,2608,0.1203769792713114,0.2799716843402933,0.009957892753692488,0.25231745781230885,-9.877508360585473,0.027654226527984438,0.9012249163941453,0-Night Advantage
88,113.915843,22.511121,3117,0.10110644921621834,0.23515246067880996,0.008790040384498977,0.22272590182916954,-5.284468983981251,0.012426558849640418,0.9471553101601875,0-Night Advantage
89,113.954302,22.517191,2748,0.005059335260936937,0.01176695596800317,0.0002732854739398374,0.006924627302896254,-41.151923048528666,0.004842328665106916,0.5884807695147134,0-Night Advantage
