community_id,lng,lat,community_type,SAI,SAI_night,spatial_deprivation,TPI,TPI_deprivation,TPI_norm,SAII,vulnerability,vulnerability_weighted,deprivation_type,illusion_flag,illusion_type
334,113.955406,22.546689,commodity_housing,0.1571851299259145,0.16105488826093337,0.8428148700740855,2.4619112105851197,2.4619112105851197,0.09237619001869452,0.07785602658854505,0.46759553004639,0.5426393980519291,3-Spatially Isolated,1,Accessibility Illusion
336,113.953784,22.526239,commodity_housing,0.026239069342308328,0.017329224914252928,0.9737609306576916,-33.956404138499735,0.0,0.0,0.0,0.4868804653288458,0.584256558394615,3-Spatially Isolated,0,Night Advantage
337,113.927949,22.526532,commodity_housing,0.12261631893781727,0.11767846950122883,0.8773836810621827,-4.027073622306819,0.0,0.0,0.0,0.43869184053109134,0.5264302086373096,3-Spatially Isolated,0,Normal
338,113.94703,22.539362,high_end,0.10120649365192147,0.09179052813202095,0.8987935063480785,-9.303716767705405,0.0,0.0,0.0,0.44939675317403927,0.539276103808847,3-Spatially Isolated,0,Night Advantage
339,113.946376,22.521775,commodity_housing,0.05437125192162908,0.04348945927713279,0.9456287480783709,-20.013871779486237,0.0,0.0,0.0,0.47281437403918547,0.5673772488470226,3-Spatially Isolated,0,Night Advantage
341,113.940871,22.532998,high_end,0.04870213268800015,0.038909938190748145,0.9512978673119998,-20.106295056899494,0.0,0.0,0.0,0.4756489336559999,0.5707787203871999,3-Spatially Isolated,0,Night Advantage
342,113.94197,22.537178,commodity_housing,0.06491892512740516,0.059699253958422,0.9350810748725948,-8.040292039246506,0.0,0.0,0.0,0.4675405374362974,0.5610486449235569,3-Spatially Isolated,0,Night Advantage
343,113.944201,22.546115,commodity_housing,0.12579272579024184,0.09777948361551782,0.8742072742097582,-22.26936573537315,0.0,0.0,0.0,0.4371036371048791,0.5245243645258549,3-Spatially Isolated,0,Night Advantage
344,113.924424,22.522299,commodity_housing,0.18799869019604873,0.1859997183912672,0.8120013098039512,-1.0632902828721669,0.0,0.0,0.0,0.4060006549019756,0.4872007858823707,3-Spatially Isolated,0,Normal
345,113.93078,22.542483,commodity_housing,0.08113071595808476,0.06249110511014563,0.9188692840419153,-22.974789052236478,0.0,0.0,0.0,0.45943464202095763,0.5513215704251492,3-Spatially Isolated,0,Night Advantage
346,113.930444,22.536725,high_end,0.068358926753804,0.06652971707882417,0.9316410732461959,-2.6758899851774562,0.0,0.0,0.0,0.46582053662309797,0.5589846439477175,3-Spatially Isolated,0,Normal
347,113.932185,22.544886,high_end,0.08268921388146244,0.055881206095485844,0.9173107861185376,-32.420199113764355,0.0,0.0,0.0,0.4586553930592688,0.5503864716711225,3-Spatially Isolated,0,Night Advantage
348,113.92607,22.548128,high_end,0.12445880453626704,0.10439140543656202,0.875541195463733,-16.123727987325655,0.0,0.0,0.0,0.4377705977318665,0.5253247172782398,3-Spatially Isolated,0,Night Advantage
349,113.940183,22.536368,high_end,0.04785865378669869,0.035444705854728024,0.9521413462133013,-25.93877376346274,0.0,0.0,0.0,0.47607067310665063,0.5712848077279807,3-Spatially Isolated,0,Night Advantage
351,113.931043,22.525118,commodity_housing,0.12615627245597374,0.11611833352719973,0.8738437275440263,-7.956749778158728,0.0,0.0,0.0,0.43692186377201314,0.5243062365264157,3-Spatially Isolated,0,Night Advantage
352,113.93523,22.542834,commodity_housing,0.07654730770717225,0.050779497669766346,0.9234526922928278,-33.66259481780773,0.0,0.0,0.0,0.4617263461464139,0.5540716153756966,3-Spatially Isolated,0,Night Advantage
