community_id,lng,lat,population,community_type,area_m2,A_day_raw,A_night_raw,A_day_norm,A_night_norm,TPI,accessibility_gap,accessibility_ratio,SAII,TPI_level
107,113.928794,22.53318,5327,commodity_housing,67605.04,0.009366045166343434,0.0006697769936060438,0.032135412616262085,0.028199179977617197,-12.248894033658566,0.003936232638644888,0.8775110596634144,0.003936232638644888,0-NightAdv
108,113.935191,22.528852,8207,commodity_housing,104152.97,0.012028843617782383,0.0008332464243571818,0.04127161956713477,0.035081625840338714,-14.998184688941176,0.006189993726796059,0.8500181531105883,0.006189993726796058,0-NightAdv
109,113.925483,22.529554,5002,commodity_housing,63482.73,0.01818913925081426,0.0015273737782483022,0.06240793041015873,0.0643060130119232,3.041412508458217,-0.001898082601764467,1.0304141250845822,0.001898082601764467,1-None
110,113.932405,22.520835,4420,commodity_housing,56097.39,0.04892040683480655,0.0031762279450868974,0.1678485882858139,0.13372663487770542,-20.329008278583398,0.034121953408108474,0.796709917214166,0.034121953408108474,0-NightAdv
111,113.927336,22.526982,4002,urban_village,28241.9,0.01807065256637535,0.0014699492295317692,0.062001396123130104,0.0618883050287442,-0.18240088362093354,0.00011309109438590453,0.9981759911637906,0.00011309109438590453,1-None
112,113.917603,22.528936,810,commodity_housing,10296.6,0.030647104866943668,0.002408506802926309,0.10515189099580048,0.10140377687111635,-3.564476196470709,0.003748114124684135,0.9643552380352929,0.003748114124684135,1-None
113,113.918644,22.529622,6404,urban_village,45165.96,0.037800501234352094,0.0029565719645475224,0.12969558470981293,0.12447860368594857,-4.022481594525431,0.005216981023864364,0.9597751840547457,0.005216981023864364,1-None
114,113.903961,22.528008,2124,commodity_housing,26964.26,0.017871110640962196,0.0008384389010759545,0.06131675687641393,0.03530024127042974,-42.42969936981728,0.02601651560598419,0.5757030063018272,0.02601651560598419,0-NightAdv
115,113.908472,22.528166,3218,urban_village,22707.82,0.01274951226555217,0.0008848032521829998,0.0437442730664908,0.03725228903243756,-14.840763325031133,0.006491984034053239,0.8515923667496886,0.006491984034053239,0-NightAdv
116,113.924562,22.523573,2532,urban_village,17856.39,0.04787118893393589,0.0036701439611149175,0.16424866435100222,0.15452165585149857,-5.92212334750976,0.009727008499503642,0.9407787665249024,0.009727008499503642,0-NightAdv
117,113.925715,22.5299,4662,commodity_housing,59172.34,0.013496630137905358,0.0011847307493798097,0.046307675300267,0.04987993906286524,7.714193682656413,-0.0035722637625982406,1.0771419368265642,0.003572263762598241,2-Mild
118,113.917992,22.529927,2414,urban_village,17030.09,0.035795685339521266,0.002801385293512615,0.12281695185508995,0.11794488140462663,-3.966936466727993,0.0048720704504633255,0.9603306353327201,0.0048720704504633255,1-None
119,113.927383,22.529275,2388,urban_village,16852.63,0.008147705107140493,0.0006864615395779129,0.027955221317366948,0.028901638436472987,3.385475322701471,-0.000946417119106039,1.0338547532270148,0.000946417119106039,1-None
120,113.915219,22.527597,1578,commodity_housing,20046.93,0.03397883088165795,0.0024818871566193116,0.11658322495860449,0.10449326161061055,-10.37024267623987,0.012089963347993934,0.8962975732376013,0.012089963347993934,0-NightAdv
121,113.918471,22.533855,4602,commodity_housing,58393.34,0.030306917206956396,0.0024339020944989078,0.10398468855053195,0.10247297811940675,-1.453781755946277,0.0015117104311251905,0.9854621824405372,0.0015117104311251905,1-None
122,113.917272,22.541312,4713,commodity_housing,59809.46,0.03744866077763871,0.002285410237240794,0.12848840088240537,0.09622112317663285,-25.112988786671913,0.03226727770577252,0.7488701121332808,0.032267277705772514,0-NightAdv
123,113.91799,22.529233,2233,commodity_housing,28340.83,0.03551315505494159,0.0027517450218988936,0.12184757501456567,0.11585490971742878,-4.91816541808118,0.005992665297136893,0.9508183458191882,0.005992665297136892,1-None
124,113.918467,22.529376,1365,urban_village,9648.72,0.03666042088422634,0.0028483612004836087,0.1257839067479516,0.11992267710070577,-4.659761171984168,0.005861229647245822,0.9534023882801583,0.005861229647245821,1-None
125,113.922229,22.532361,3439,urban_village,24265.17,0.021899739104224845,0.0018645660706141007,0.0751392012107397,0.07850259818916998,4.476221365458885,-0.003363396978430272,1.0447622136545889,0.003363396978430272,1-None
126,113.90782,22.514299,1506,urban_village,10638.14,0.12548925684374934,0.006578721402281995,0.4305604954878035,0.27697957770503834,-35.66999745500703,0.15358091778276517,0.6433000254499297,0.15358091778276517,0-NightAdv
127,113.925228,22.547999,2127,urban_village,15002.91,0.0641640092053743,0.00437169959391858,0.2201502207503592,0.18405879096154376,-16.39400118055823,0.03609142978881544,0.8360599881944177,0.03609142978881544,0-NightAdv
128,113.92431,22.530253,4650,commodity_housing,59021.68,0.028672320247441846,0.002358079130440578,0.09837629708728696,0.0992806537631974,0.9192831024205286,-0.0009043566759104477,1.0091928310242053,0.0009043566759104477,1-None
129,113.901382,22.525735,3222,commodity_housing,40896.34,0.013005117556687072,0.002006498409853279,0.044621268783641144,0.08447828206165003,89.32290444556139,-0.03985701327800889,1.893229044455614,0.03985701327800889,4-Severe
130,113.917432,22.52862,4462,urban_village,31465.39,0.02977295404891519,0.0023919929685360213,0.10215263178582647,0.10070850576963358,-1.4136943815805387,0.0014441260161928843,0.9858630561841946,0.0014441260161928843,1-None
131,113.932845,22.52908,2200,commodity_housing,27947.84,0.008391445943885767,0.0007352090007700337,0.028791509443372252,0.03095402071405398,7.510933995784424,-0.0021625112706817294,1.0751093399578442,0.0021625112706817294,2-Mild
132,113.921497,22.530023,4499,commodity_housing,57103.79,0.0349007164280904,0.0028194602847620965,0.11974626462939661,0.11870588086594552,-0.8688235634497457,0.001040383763451086,0.9913117643655025,0.001040383763451086,1-None
133,113.91247,22.547632,5890,urban_village,41534.28,0.04576900300877681,0.0012061770278467962,0.15703594960306988,0.0507828776112388,-67.6616228706869,0.10625307199183108,0.323383771293131,0.10625307199183108,0-NightAdv
134,113.934308,22.526303,3101,urban_village,21877.62,0.017697741687334727,0.0010794710656212817,0.060721918525677744,0.04544825986959679,-25.15345204322244,0.015273658656080956,0.7484654795677755,0.015273658656080956,0-NightAdv
135,113.915294,22.517919,4189,commodity_housing,53168.4,0.07493907414090628,0.006709303055621929,0.2571200571669735,0.28247737111905563,9.862052082391656,-0.025357313952082128,1.0986205208239166,0.02535731395208213,2-Mild
136,113.915974,22.527943,4820,urban_village,33995.7,0.03585699928857976,0.0026977592962953113,0.1230273233637826,0.11358198424066464,-7.677432024745263,0.009445339123117957,0.9232256797525473,0.009445339123117956,0-NightAdv
137,113.914271,22.521299,1965,commodity_housing,24948.12,0.041093469856403955,0.003009641446753012,0.14099393994114415,0.126712953169908,-10.12879473911967,0.014280986771236154,0.8987120526088033,0.014280986771236156,0-NightAdv
138,113.903399,22.533302,4624,commodity_housing,58684.39,0.00897261287559066,0.0006648449786380769,0.030785524934176786,0.02799153059720894,-9.075675477165806,0.002793994336967847,0.909243245228342,0.002793994336967847,0-NightAdv
139,113.937095,22.524145,3120,urban_village,22017.39,0.02761942856407721,0.0014326365574624514,0.09476376820404617,0.060317354152298615,-36.34977239146636,0.03444641405174755,0.6365022760853364,0.03444641405174755,0-NightAdv
140,113.9178,22.529921,2818,commodity_housing,35780.59,0.035795685339521266,0.002801385293512615,0.12281695185508995,0.11794488140462663,-3.966936466727993,0.0048720704504633255,0.9603306353327201,0.0048720704504633255,1-None
141,113.913559,22.535522,1449,commodity_housing,18407.81,0.03843753966975083,0.0027565274947022093,0.1318812983819528,0.1160562630224933,-11.999453716043387,0.015825035359459505,0.8800054628395662,0.015825035359459505,0-NightAdv
142,113.917812,22.529331,841,commodity_housing,10702.51,0.031202055186048384,0.0024469289922341955,0.10705595585660647,0.10302144102167757,-3.768603813442047,0.004034514834928907,0.9623139618655795,0.004034514834928906,1-None
143,113.920385,22.522923,3663,urban_village,25847.83,0.03644918176385963,0.0029459898544178767,0.12505913378635264,0.124033072067309,-0.8204612393977817,0.0010260617190436389,0.9917953876060221,0.0010260617190436389,1-None
144,113.917793,22.528216,3293,commodity_housing,41815.3,0.03203704353946332,0.002547988525609197,0.10992084651111503,0.10727628404749207,-2.4058789097439752,0.0026445624636229625,0.9759412109025603,0.0026445624636229625,1-None
145,113.901912,22.53305,719,urban_village,5093.23,0.02259282711277907,0.005835208317056387,0.07751722403026544,0.24567593558811812,216.93077075644197,-0.16815871155785267,3.16930770756442,0.16815871155785267,4-Severe
146,113.915427,22.526443,1693,urban_village,11955.95,0.03765231066510472,0.002727676576732286,0.12918713477133564,0.1148415718101644,-11.104482645708677,0.014345562961171246,0.8889551735429132,0.014345562961171246,0-NightAdv
147,113.901921,22.539386,2775,urban_village,19580.13,0.011693611503255569,0.0009892500406071382,0.04012141986905377,0.041649743428413405,3.8092459448037905,-0.001528323559359633,1.0380924594480379,0.001528323559359633,1-None
148,113.907436,22.53814,1546,urban_village,10915.35,0.023549750998919556,0.0013229964924130607,0.08080048215867856,0.05570125064829566,-31.063219970757388,0.025099231510382902,0.6893678002924261,0.0250992315103829,0-NightAdv
