lon,lat,name,shop,opening_hours,brand,amenity,addr_distr,cuisine
113.984306,22.5281567,西西弗书店,books,,西西弗书店,,,
113.9819562,22.5495542,美宜佳,convenience,,美宜佳,,,
113.9150951,22.5423713,盒马鲜生,supermarket,,盒马鲜生,,,
113.9067806,22.5308574,美宜佳,convenience,,美宜佳,,,
113.910071,22.5320381,沃尔玛,supermarket,,沃尔玛,,,
113.9100116,22.5332916,小米之家,mobile_phone,,小米,,,
113.9203068,22.5301573,钱大妈,greengrocer,,钱大妈,,,
113.9302859,22.5204198,无印良品,variety_store,,无印良品,,,
113.9377349,22.5194635,无印良品,variety_store,,无印良品,,,
113.9177007,22.5039123,无印良品,variety_store,,无印良品,,,
113.9178921,22.5036502,优衣库,clothes,,优衣库,,,
113.9188472,22.5050912,海澜之家,clothes,,海澜之家,,,
113.9224193,22.4942077,钱大妈,greengrocer,,钱大妈,,,
113.9169432,22.5864738,西西弗书店,books,,西西弗书店,,,
113.9170542,22.5865498,7-Eleven,convenience,,7-Eleven,,,
113.942665,22.5529364,晨光文具店收发部（二楼）,stationery,,,,,
113.9416863,22.552947,便民小超市,supermarket,,,,,
113.9458714,22.5507807,晨光文具店,stationery,,,,,
113.9456776,22.5475866,美宜多超市,supermarket,,,,,
113.9456422,22.5475317,民心大药房,chemist,,,,,
113.9016988,22.5635423,Decathlon,sports,,Decathlon,,,
113.9118898,22.5823236,百果园,greengrocer,,百果园,,,
113.9119986,22.5821181,7-Eleven,convenience,,7-Eleven,,,
113.898735,22.5557402,美宜佳,convenience,,美宜佳,,,
113.8974527,22.5520626,钱大妈,greengrocer,,钱大妈,,,
113.9895369,22.5669002,早午仓便利店,convenience,,,,,
113.9642876,22.5804274,美宜佳,convenience,,,,,
113.8981884,22.5541452,美宜佳,convenience,,美宜佳,,,
113.9005763,22.5545573,百果园,greengrocer,,百果园,,,
113.8977953,22.5516841,果然鲜,greengrocer,,,,,
113.9433343,22.5062528,煌上煌,deli,,煌上煌,,,
